44	335
E
D
E
C
D
E
D
A
B
H
D
D
B
E
E
E
E
H
D
F
B
E
B
H
F
C
D
H
E
F
F
D
E
F
B
H
B
F
F
D
B
E
C
B
0	5	a
0	12	b
0	16	b
0	20	d
0	32	c
0	33	c
0	43	c
1	4	d
1	6	c
1	7	c
1	9	b
1	10	d
1	19	c
1	20	a
1	25	d
1	30	b
1	32	d
1	39	a
1	41	d
2	5	d
2	9	d
2	13	b
2	25	a
2	28	d
2	32	c
2	36	d
2	40	a
3	14	a
3	18	a
3	21	a
3	23	a
3	28	b
3	30	d
3	32	b
3	41	d
4	8	c
4	16	b
4	25	a
4	38	a
4	40	a
4	43	c
5	7	c
5	15	a
5	34	c
5	42	c
6	0	c
6	5	a
6	26	d
6	37	a
6	40	d
7	2	d
7	3	d
7	4	d
7	9	a
7	11	a
7	17	d
7	21	d
7	24	b
7	36	c
7	39	c
7	42	b
8	0	a
8	5	d
8	7	d
8	11	a
8	16	d
8	19	b
8	28	a
8	32	c
8	40	c
9	6	a
9	11	a
9	15	d
9	26	a
9	38	a
10	5	b
10	9	a
10	14	c
10	15	d
10	24	d
10	29	c
10	31	a
10	35	b
11	1	b
11	3	a
11	5	a
11	19	a
11	20	d
11	24	a
11	29	b
11	30	d
11	39	a
12	2	d
12	4	d
12	9	a
12	13	a
12	18	b
12	20	a
12	22	d
12	25	b
12	27	b
12	33	a
12	34	c
12	40	b
12	43	b
13	0	b
13	4	d
13	9	c
13	11	d
13	16	a
13	17	d
13	20	a
13	24	a
13	29	d
13	34	a
13	36	a
13	40	d
14	5	b
14	9	c
14	16	b
14	19	a
14	22	c
14	33	b
14	34	a
14	36	a
14	38	a
15	0	a
15	4	a
15	29	c
15	36	a
15	37	b
15	42	b
16	3	c
16	10	b
16	12	c
16	21	a
16	28	a
16	32	a
17	3	a
17	5	a
17	20	c
17	22	d
17	27	b
17	35	a
18	4	d
18	5	c
18	7	a
18	13	a
18	16	a
18	17	a
18	19	d
18	38	d
18	42	b
19	3	a
19	17	b
19	23	a
19	32	a
19	33	a
19	36	d
19	37	d
20	3	a
20	4	a
20	7	b
20	18	c
20	21	d
20	23	d
20	28	a
20	32	a
20	34	d
21	6	d
21	12	d
21	23	b
21	25	c
21	37	b
21	40	d
21	41	a
22	8	c
22	10	d
22	11	c
22	19	d
22	37	b
22	39	a
22	42	d
23	7	b
23	9	a
23	11	c
23	14	a
23	15	a
23	28	a
24	0	d
24	6	c
24	8	c
24	9	d
24	21	b
24	25	d
24	27	b
24	28	c
24	30	a
24	36	d
25	3	b
25	6	d
25	17	a
25	26	a
25	27	c
25	28	d
25	32	d
25	33	a
25	41	a
26	3	a
26	5	a
26	10	b
26	18	c
26	19	c
26	20	b
26	34	c
26	37	c
27	0	d
27	3	a
27	9	d
27	16	b
27	21	b
27	22	c
27	32	b
27	37	a
27	41	a
28	1	b
28	6	d
28	9	d
28	17	a
28	30	a
28	34	a
28	38	a
28	39	a
29	4	b
29	28	d
29	30	c
30	2	c
30	9	a
30	10	a
30	15	a
30	21	c
30	26	d
30	39	d
31	5	c
31	9	a
31	14	c
31	15	c
31	25	c
31	29	b
31	40	c
32	6	a
32	17	b
32	33	d
32	43	a
33	5	a
33	36	d
34	0	c
34	2	a
34	11	a
34	16	d
34	33	d
34	36	a
34	37	a
34	42	a
34	43	c
35	4	a
35	13	d
35	15	a
35	24	b
35	26	d
35	28	d
35	34	d
36	17	b
36	21	a
36	22	d
36	32	b
36	37	d
37	1	c
37	8	b
37	14	a
37	17	d
37	23	b
37	24	d
37	30	a
37	38	d
38	0	a
38	2	d
38	3	d
38	8	c
38	15	a
38	31	a
38	34	a
38	40	a
39	3	c
39	8	a
39	9	b
39	13	c
39	16	c
39	19	a
39	32	a
39	33	a
40	1	b
40	7	d
40	16	a
40	20	d
40	23	c
40	26	c
40	30	c
40	32	b
40	36	a
40	42	d
41	4	d
41	5	c
41	6	b
41	9	d
41	10	a
41	12	a
41	14	b
42	8	b
42	11	a
42	13	d
42	28	d
42	29	c
42	37	c
42	38	a
42	39	a
43	7	c
43	10	a
43	11	b
43	15	b
43	21	d
43	25	c
43	30	d
43	35	a
43	42	a
